Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone3
11.49,73.1,0.077,0.044,0.085,25607.71084
12.24,70.1,0.077,0.073,0.089,25359.03614
11.84,68.78,0.074,0.066,0.093,24971.56627
12.2,68.78,0.074,0.066,0.122,24584.09639
13.1,65.44,0.074,0.04,0.141,23976.86747
13.2,63.84,0.074,0.081,0.093,23415.90361
13.18,63.97,0.075,0.081,0.093,22698.79518
12.64,66.77,0.072,0.044,0.141,22322.89157
12.39,68.04,0.074,0.084,0.115,21813.9759
12.24,69.18,0.077,0.059,0.119,21264.57831
12.11,69.94,0.074,0.088,0.082,20686.26506
12.07,70.7,0.076,0.033,0.078,20397.10843
11.99,70.8,0.075,0.055,0.134,19905.54217
11.32,74.7,0.075,0.07,0.1,19252.04819
11.37,74.8,0.074,0.084,0.082,18847.22892
11.41,74.1,0.076,0.077,0.122,18384.57831
11.01,75.8,0.076,0.033,0.163,17916.14458
10.74,77.3,0.078,0.084,0.108,17349.39759
10.47,78.2,0.078,0.088,0.13,16985.06024
10.31,79.2,0.076,0.091,0.134,16586.0241
10.63,79.3,0.079,0.037,0.152,16366.26506
10.84,78.4,0.073,0.062,0.156,16106.0241
10.94,78.1,0.074,0.084,0.108,15643.37349
11.12,77.9,0.073,0.055,0.145,15307.95181
11.02,77.5,0.081,0.062,0.178,15093.9759
10.5,78.9,0.076,0.066,0.145,14972.53012
10.22,79.8,0.078,0.088,0.126,14833.73494
10.42,81.3,0.075,0.073,0.13,14625.54217
10.86,80.0,0.076,0.066,0.159,14405.78313
11.17,77.3,0.077,0.066,0.13,14342.16867
11.1,75.6,0.077,0.077,0.156,14191.80723
11.14,75.0,0.081,0.07,0.156,14128.19277
11.21,75.2,0.077,0.062,0.137,14081.92771
10.71,77.4,0.079,0.07,0.148,13844.81928
10.7,77.7,0.079,0.062,0.159,13948.91566
10.58,78.6,0.075,0.055,0.137,13966.26506
10.59,79.5,0.078,0.084,0.145,13827.46988
10.68,79.4,0.079,0.059,0.156,13746.50602
10.52,79.8,0.076,0.066,0.145,13642.40964
10.34,80.6,0.078,0.088,0.119,13636.62651
10.18,81.7,0.079,0.059,0.159,13549.87952
10.41,82.3,0.074,0.077,0.126,13503.61446
10.41,81.4,0.078,0.095,0.134,13549.87952
10.39,81.5,0.074,0.088,0.119,13648.19277
10.16,81.9,0.075,0.073,0.122,13717.59036
9.97,82.8,0.077,0.066,0.178,13659.75904
10.03,83.8,0.08,0.029,0.163,13642.40964
9.98,83.0,0.078,0.073,0.115,13844.81928
9.74,82.8,0.081,0.106,0.126,13931.56627
9.54,83.7,0.078,0.081,0.174,14081.92771
9.53,83.9,0.072,0.066,0.182,14174.45783
9.56,84.1,0.073,0.077,0.134,14637.10843
9.58,84.5,0.075,0.048,0.134,14868.43373
9.44,84.1,0.075,0.07,0.145,14729.63855
9.4,84.4,0.077,0.07,0.122,14712.28916
9.38,84.6,0.076,0.044,0.141,14619.75904
9.16,84.7,0.077,0.048,0.145,14573.49398
9.06,85.6,0.076,0.059,0.141,14423.13253
9.17,85.8,0.078,0.073,0.163,14400.0
9.46,86.2,0.076,0.07,0.152,13862.16867
9.74,85.4,0.072,0.077,0.111,13052.53012
9.8,84.4,0.077,0.081,0.122,12404.81928
9.58,83.9,0.079,0.073,0.13,11919.03614
9.51,83.7,0.082,0.081,0.137,11543.13253
9.44,83.2,0.084,0.124,0.223,11398.55422
9.18,82.5,0.083,0.871,0.89,11560.48193
8.96,83.4,0.083,2.95,2.867,11774.45783
8.71,83.9,0.081,6.657,6.472,12248.6747
8.52,85.1,0.081,13.02,11.56,12404.81928
8.43,85.4,0.079,39.1,19.49,12358.55422
8.44,85.9,0.08,64.11,24.49,12636.14458
8.69,86.7,0.079,92.3,27.88,13110.36145
9.02,86.7,0.082,117.2,30.43,13474.6988
9.17,86.9,0.079,134.7,33.24,13763.85542
10.48,87.0,0.079,169.2,35.2,13925.78313
11.13,83.5,0.08,194.0,36.92,14324.81928
11.68,81.7,0.08,218.3,39.07,14619.75904
12.22,78.0,0.075,246.6,40.01,15059.27711
12.61,74.8,0.076,270.6,40.59,15238.55422
13.07,72.7,0.075,288.3,42.31,15510.36145
13.61,70.2,0.077,309.8,43.74,15787.95181
14.0,69.22,0.077,337.2,43.39,16094.45783
14.55,64.11,0.077,360.7,41.43,16325.78313
14.94,58.46,0.077,381.4,41.13,16343.13253
15.08,57.23,0.076,396.6,40.66,16458.79518
15.18,55.83,0.076,410.8,41.23,16429.87952
15.28,56.49,0.075,425.6,41.84,16655.42169
15.27,55.93,0.076,440.2,41.83,16857.83133
15.21,55.69,0.077,452.5,41.73,16742.16867
15.18,57.2,0.078,460.5,42.38,17170.12048
15.11,57.86,0.074,469.9,43.43,18373.01205
15.1,58.33,0.076,476.2,43.25,19009.15663
15.26,58.8,0.076,482.3,44.1,18986.0241
15.15,60.87,0.075,485.1,44.53,18916.62651
15.23,60.53,0.076,487.1,44.09,18997.59036
15.22,60.2,0.077,487.6,44.43,19107.46988
15.22,59.83,0.076,486.9,44.29,19292.53012
15.33,59.16,0.076,484.1,43.72,19072.77108
15.41,58.13,0.076,481.1,43.82,18621.68675
15.43,58.0,0.077,477.2,43.68,18586.98795
15.56,56.03,0.075,470.9,42.8,18714.21687
15.59,55.73,0.075,463.4,42.58,18772.04819
15.47,56.29,0.077,451.8,42.83,18644.81928
15.55,55.99,0.074,441.9,41.88,18517.59036
15.57,56.53,0.076,427.9,42.14,18199.51807
15.64,55.35,0.077,413.9,41.5,16800.0
15.59,55.76,0.077,399.4,40.61,16643.85542
15.58,57.03,0.077,381.1,42.48,16603.37349
15.49,57.19,0.075,364.3,45.96,16649.63855
15.45,57.86,0.075,345.8,57.35,16586.0241
15.36,57.72,0.075,324.6,79.5,16372.04819
15.38,58.02,0.074,302.9,121.3,16210.12048
15.37,58.59,0.077,280.3,184.0,16111.80723
15.23,59.76,0.077,260.6,238.0,16059.75904
15.23,61.12,0.075,238.2,253.4,16181.20482
15.24,61.63,0.075,216.8,248.1,16314.21687
15.19,61.72,0.075,192.0,227.3,16406.74699
15.17,61.76,0.077,165.5,200.6,17008.19277
15.22,59.95,0.076,142.6,175.0,18026.0241
15.17,61.92,0.076,119.9,148.2,19836.14458
15.02,62.32,0.076,98.7,123.7,22791.3253
14.9,61.82,0.079,77.5,98.6,24144.57831
14.81,61.79,0.078,58.1,75.3,24734.45783
14.68,62.05,0.079,22.4,25.24,25156.62651
14.54,64.02,0.074,11.04,11.2,25497.83133
14.38,64.55,0.077,6.504,6.524,25497.83133
14.23,65.55,0.076,3.071,3.089,25526.74699
14.11,65.79,0.081,0.933,0.946,25520.96386
14.03,66.72,0.074,0.143,0.189,25382.16867
13.95,67.52,0.074,0.037,0.119,25619.27711
13.87,68.59,0.075,0.066,0.1,25659.75904
13.74,69.46,0.074,0.081,0.093,25636.62651
13.55,69.9,0.076,0.029,0.104,25567.22892
13.43,69.86,0.076,0.04,0.108,25538.31325
13.35,69.86,0.076,0.073,0.078,25411.08434
13.2,70.5,0.076,0.055,0.122,25457.3494
13.42,68.89,0.073,0.055,0.096,25353.25301
13.55,68.12,0.077,0.055,0.074,25723.37349
13.42,68.52,0.075,0.055,0.093,25937.3494
13.3,69.03,0.075,0.055,0.093,25630.84337
13.33,68.72,0.076,0.066,0.108,25549.87952
13.45,68.59,0.075,0.066,0.122,25659.75904
13.47,66.99,0.074,0.048,0.078,25619.27711
13.29,66.99,0.075,0.051,0.067,25630.84337
13.15,66.42,0.078,0.055,0.093,25162.40964
13.03,66.62,0.074,0.07,0.085,24879.03614
12.93,67.29,0.076,0.07,0.111,24566.74699
12.88,67.46,0.075,0.051,0.119,24156.14458
12.86,67.76,0.074,0.084,0.093,23791.80723
12.87,67.96,0.075,0.066,0.134,23323.37349
12.92,68.52,0.074,0.037,0.148,23190.36145
12.96,68.62,0.075,0.102,0.063,22768.19277
12.88,69.33,0.075,0.062,0.152,22236.14458
12.77,69.86,0.075,0.11,0.1,21727.22892
12.82,70.1,0.075,0.077,0.1,21166.26506
12.75,70.4,0.071,0.051,0.152,20755.66265
12.54,71.5,0.077,0.051,0.1,20281.44578
12.23,72.9,0.077,0.059,0.111,19755.18072
12.19,72.8,0.077,0.07,0.122,19043.85542
12.31,72.6,0.072,0.044,0.152,18644.81928
12.08,74.0,0.076,0.117,0.093,18072.28916
12.16,74.0,0.072,0.07,0.141,17644.33735
12.07,74.1,0.074,0.102,0.119,17204.81928
11.48,76.8,0.077,0.07,0.145,16811.56627
11.45,77.7,0.074,0.073,0.115,16476.14458
11.8,76.6,0.076,0.018,0.23,15984.57831
12.23,75.1,0.074,0.062,0.145,15718.55422
12.39,71.0,0.078,0.062,0.148,15498.79518
12.42,71.4,0.077,0.059,0.159,15146.0241
12.4,71.5,0.075,0.062,0.156,14972.53012
11.84,73.4,0.079,0.073,0.152,14943.61446
11.51,73.0,0.076,0.044,0.148,14862.6506
11.35,73.6,0.081,0.095,0.134,14475.18072
11.27,73.8,0.077,0.055,0.159,14266.98795
11.33,74.5,0.073,0.044,0.13,14255.42169
11.44,75.0,0.078,0.081,0.119,14226.50602
12.26,75.5,0.076,0.073,0.163,14180.24096
13.08,70.9,0.076,0.062,0.174,13983.61446
12.78,71.8,0.078,0.055,0.156,13769.63855
12.34,73.2,0.076,0.088,0.152,13775.42169
12.2,73.8,0.072,0.084,0.178,13804.33735
12.04,74.7,0.077,0.077,0.134,13711.80723
11.96,74.9,0.077,0.07,0.137,13706.0241
11.92,75.2,0.077,0.059,0.182,13486.26506
11.85,75.1,0.083,0.077,0.156,13468.91566
11.66,75.5,0.084,0.07,0.156,13642.40964
11.55,76.1,0.077,0.055,0.156,13625.06024
11.6,75.1,0.081,0.073,0.137,13636.62651
11.17,77.8,0.076,0.077,0.148,13596.14458
10.83,78.5,0.076,0.066,0.148,13578.79518
10.74,78.6,0.077,0.048,0.189,13688.6747
10.57,80.3,0.081,0.04,0.152,13677.10843
10.49,80.3,0.08,0.084,0.141,13891.08434
10.69,81.6,0.078,0.073,0.074,13972.04819
11.22,80.0,0.076,0.077,0.171,14301.68675
11.36,77.9,0.077,0.062,0.174,14810.60241
11.44,77.5,0.079,0.102,0.122,14874.21687
11.49,76.7,0.073,0.084,0.159,14648.6747
11.33,76.8,0.075,0.062,0.145,14509.87952
11.16,77.3,0.082,0.048,0.163,14613.9759
10.89,77.5,0.082,0.099,0.111,14579.27711
10.27,80.2,0.078,0.077,0.148,14405.78313
10.15,80.8,0.08,0.055,0.193,14342.16867
10.0,81.6,0.077,0.062,0.145,14122.40964
9.9,81.5,0.076,0.048,0.171,13445.78313
9.67,81.6,0.08,0.084,0.145,12595.66265
9.27,81.5,0.08,0.059,0.167,11884.33735
9.03,81.8,0.079,0.07,0.122,11624.09639
8.85,82.7,0.082,0.146,0.223,11780.24096
8.68,83.1,0.083,0.834,0.849,11838.07229
8.54,83.7,0.078,2.88,2.815,11959.51807
8.38,84.9,0.081,6.306,6.119,12167.71084
8.5,84.9,0.079,12.91,11.68,12578.31325
8.48,85.7,0.082,38.0,20.54,12861.68675
8.4,85.3,0.082,64.8,27.42,13110.36145
8.51,85.5,0.083,85.3,33.31,13353.25301
8.8,85.0,0.084,109.4,38.03,13642.40964
9.09,84.1,0.081,135.3,40.0,13885.3012
9.62,84.5,0.082,161.3,41.16,14186.0241
10.89,85.9,0.085,191.6,40.65,14110.84337
12.43,83.3,0.079,220.3,41.27,14139.75904
13.02,77.5,0.084,245.9,42.92,14521.44578
13.38,74.4,0.078,269.7,43.12,14712.28916
13.64,73.2,0.079,294.9,43.18,14989.87952
13.88,72.2,0.084,319.0,43.25,15053.49398
14.16,72.3,0.081,339.3,43.08,15244.33735
14.54,69.24,0.084,361.2,43.97,15388.91566
14.75,67.1,0.078,380.3,44.96,15637.59036
14.87,66.57,0.08,397.2,45.17,15840.0
15.0,65.1,0.083,413.4,44.82,15897.83133
15.08,64.4,0.079,428.2,44.18,16025.06024
15.18,64.23,0.077,440.5,45.02,16094.45783
15.28,64.43,0.074,452.5,44.71,16285.3012
15.19,63.6,0.074,462.8,45.04,16372.04819
15.18,64.77,0.075,470.7,44.71,16435.66265
15.21,65.33,0.076,478.0,45.15,16614.93976
15.31,64.2,0.074,484.0,44.76,16655.42169
15.35,63.13,0.073,488.8,44.76,16788.43373
15.43,62.93,0.073,492.7,44.55,16632.28916
15.39,62.9,0.074,493.3,44.78,16898.31325
15.41,62.83,0.074,491.9,44.84,16880.96386
15.57,62.7,0.077,490.1,44.76,16915.66265
15.37,63.4,0.076,487.1,44.94,16863.61446
15.49,63.46,0.075,480.4,45.25,16759.51807
15.57,63.7,0.073,472.9,45.01,16771.08434
15.48,63.76,0.075,465.8,44.23,16782.6506
15.36,64.16,0.073,455.2,44.07,16597.59036
15.35,64.19,0.074,443.9,43.33,16325.78313
15.41,64.1,0.074,430.9,43.09,16412.53012
15.36,65.23,0.075,415.4,43.03,16296.86747
15.44,64.86,0.075,401.3,43.02,16366.26506
15.48,64.1,0.075,385.4,45.37,16354.6988
15.45,64.86,0.076,366.1,53.46,16562.89157
15.44,64.93,0.074,348.4,72.7,16632.28916
15.34,65.3,0.075,328.3,104.5,16487.71084
15.3,65.83,0.075,306.7,155.7,16481.92771
15.34,66.4,0.075,283.3,215.7,16429.87952
15.34,66.83,0.071,259.9,256.6,16458.79518
15.23,67.66,0.076,234.7,257.7,16435.66265
15.18,67.73,0.075,208.8,240.7,16499.27711
15.09,67.66,0.076,184.9,218.7,16713.25301
14.96,66.19,0.077,160.4,193.2,17187.46988
14.94,64.99,0.075,131.7,166.5,17852.53012
14.89,65.45,0.073,115.7,142.4,19402.40964
14.85,65.55,0.077,97.1,121.2,21761.92771
14.78,65.82,0.075,77.8,98.6,23866.98795
14.68,67.22,0.073,58.28,75.3,24803.85542
14.51,68.26,0.077,26.56,31.14,25145.06024
14.32,69.56,0.075,11.76,11.93,25347.46988
14.14,70.9,0.076,6.804,6.887,25544.09639
13.98,72.1,0.076,3.327,3.349,25781.20482
13.86,73.0,0.074,1.014,1.087,25700.24096
13.45,73.7,0.075,0.209,0.189,25671.3253
12.2,77.3,0.076,0.059,0.115,25786.98795
11.85,78.2,0.074,0.066,0.111,25740.72289
11.53,79.0,0.078,0.073,0.093,25995.18072
11.25,80.0,0.075,0.059,0.111,25833.25301
11.12,80.5,0.074,0.073,0.115,25746.50602
10.92,81.2,0.076,0.051,0.085,25688.6747
10.93,81.3,0.079,0.059,0.074,25821.68675
10.69,81.5,0.077,0.055,0.093,25891.08434
10.39,81.5,0.078,0.088,0.089,26076.14458
10.17,83.1,0.074,0.084,0.067,26122.40964
10.03,82.9,0.075,0.081,0.1,26157.10843
9.61,83.9,0.076,0.066,0.108,26238.07229
9.71,84.2,0.075,0.062,0.096,25989.39759
9.62,83.4,0.074,0.055,0.082,25729.15663
9.49,83.5,0.073,0.037,0.111,25619.27711
9.33,83.7,0.076,0.066,0.067,25486.26506
9.23,83.9,0.074,0.059,0.1,25226.0241
9.14,84.0,0.073,0.055,0.085,24734.45783
9.11,83.8,0.073,0.081,0.078,24294.93976
9.07,83.8,0.073,0.073,0.089,24190.84337
9.0,83.9,0.072,0.051,0.108,23953.73494
9.05,84.0,0.072,0.062,0.093,23520.0
8.98,83.6,0.073,0.062,0.059,23034.21687
8.81,83.9,0.075,0.051,0.104,22513.73494
8.72,84.0,0.076,0.062,0.115,22051.08434
8.51,84.3,0.075,0.062,0.104,21443.85542
8.52,85.0,0.075,0.073,0.078,20593.73494
8.6,84.4,0.074,0.048,0.104,20136.86747
8.49,84.5,0.077,0.04,0.159,19575.90361
8.33,84.7,0.076,0.059,0.059,19113.25301
8.5,84.7,0.073,0.077,0.059,18783.61446
8.52,83.7,0.077,0.062,0.104,18176.38554
8.63,83.5,0.073,0.044,0.111,17725.3012
8.69,82.8,0.076,0.044,0.126,17551.80723
8.77,82.3,0.075,0.055,0.082,17280.0
8.36,82.0,0.078,0.055,0.108,16666.98795
8.17,82.7,0.075,0.062,0.111,16239.03614
8.13,82.4,0.074,0.037,0.1,15892.04819
8.14,82.3,0.074,0.073,0.093,15712.77108
8.15,82.2,0.076,0.077,0.074,15666.50602
8.33,82.2,0.075,0.062,0.082,15371.56627
8.36,81.4,0.076,0.073,0.093,14978.31325
8.23,80.7,0.076,0.059,0.089,14845.3012
8.13,81.2,0.075,0.059,0.119,14775.90361
8.04,81.2,0.075,0.066,0.115,14718.07229
7.87,81.8,0.074,0.073,0.119,14417.3494
7.91,81.8,0.078,0.07,0.111,14174.45783
7.9,81.8,0.077,0.077,0.1,14099.27711
7.88,81.6,0.077,0.077,0.13,14168.6747
7.89,81.2,0.074,0.066,0.07,14081.92771
7.94,81.2,0.074,0.062,0.13,14000.96386
7.84,80.5,0.073,0.059,0.134,13914.21687
7.59,80.4,0.076,0.07,0.115,13850.60241
7.44,81.1,0.076,0.062,0.126,13948.91566
7.59,81.0,0.082,0.044,0.111,13781.20482
7.46,81.3,0.091,0.084,0.122,13839.03614
6.991,82.5,0.086,0.084,0.108,13775.42169
6.683,83.5,0.086,0.04,0.082,13821.68675
6.447,84.1,0.087,0.062,0.108,13821.68675
6.091,84.9,0.083,0.055,0.085,13665.54217
5.88,85.9,0.083,0.055,0.111,13763.85542
6.003,86.3,0.085,0.062,0.1,13827.46988
5.904,86.7,0.085,0.062,0.119,14047.22892
6.042,86.7,0.087,0.062,0.148,14157.10843
5.976,86.8,0.085,0.077,0.119,14214.93976
5.965,86.9,0.084,0.062,0.104,14290.12048
6.025,87.1,0.085,0.081,0.137,14793.25301
5.946,86.9,0.084,0.07,0.122,15163.37349
5.795,86.9,0.086,0.07,0.085,15036.14458
5.488,87.1,0.087,0.029,0.134,14799.03614
5.352,87.1,0.083,0.051,0.148,14648.6747
5.076,87.7,0.082,0.066,0.122,14718.07229
5.291,88.3,0.09,0.033,0.13,14995.66265
5.364,87.7,0.087,0.051,0.122,14839.51807
5.393,87.8,0.087,0.048,0.111,14347.95181
5.524,87.7,0.088,0.051,0.145,13301.20482
5.576,87.4,0.091,0.07,0.137,12526.26506
5.421,86.9,0.09,0.07,0.122,11965.3012
5.336,86.7,0.089,0.11,0.119,11329.15663
5.139,86.9,0.085,0.146,0.226,11392.77108
5.01,87.2,0.09,0.878,0.816,11531.56627
5.099,87.4,0.084,2.906,2.804,11884.33735
4.917,87.5,0.09,6.456,6.283,12098.31325
4.779,87.7,0.086,13.9,12.28,12161.92771
4.873,87.8,0.089,47.75,22.59,12682.40964
4.872,87.2,0.088,70.5,26.46,13416.86747
5.009,86.9,0.084,92.6,31.27,13746.50602
5.065,86.6,0.088,118.0,34.1,13769.63855
5.218,86.3,0.089,145.1,34.58,13937.3494
5.54,85.9,0.088,170.9,36.58,14110.84337
5.738,84.7,0.089,196.1,37.53,14382.6506
6.0,84.1,0.091,220.3,39.42,14718.07229
6.271,83.0,0.09,248.3,39.09,14851.08434
6.593,81.6,0.09,272.8,39.92,15093.9759
6.933,81.2,0.09,297.3,40.57,15250.12048
7.22,81.2,0.091,320.5,40.4,15637.59036
7.54,81.0,0.091,343.3,39.4,15805.3012
8.01,79.8,0.088,354.4,40.51,15892.04819
8.57,79.0,0.088,384.7,40.3,16117.59036
9.04,78.5,0.09,402.8,39.82,16366.26506
9.6,77.3,0.09,420.1,39.15,16441.44578
10.14,75.6,0.094,436.2,38.96,16366.26506
10.8,73.5,0.089,451.6,37.73,16493.49398
11.47,70.1,0.085,466.4,37.49,16267.95181
12.0,67.75,0.086,477.0,37.37,16562.89157
12.6,66.24,0.088,485.7,36.72,16557.10843
13.19,65.44,0.086,492.7,36.75,16649.63855
13.66,65.01,0.087,499.7,37.17,16736.38554
13.92,63.81,0.086,503.9,37.24,16811.56627
14.41,63.77,0.084,505.9,36.35,16817.3494
14.86,61.6,0.087,508.4,36.78,17100.72289
15.34,60.2,0.085,506.6,37.02,16985.06024
16.13,58.43,0.085,503.5,38.74,16886.74699
16.38,55.89,0.084,501.0,42.75,16747.95181
17.05,55.46,0.087,486.7,45.15,16695.90361
17.65,53.72,0.084,485.9,38.87,16649.63855
17.55,50.78,0.082,468.6,43.49,16701.68675
17.43,50.65,0.076,458.1,45.03,16568.6747
17.4,53.26,0.077,448.2,46.62,16545.54217
17.42,53.72,0.077,430.7,47.2,16453.01205
17.49,56.59,0.077,418.2,45.45,16453.01205
17.33,57.36,0.075,409.7,44.91,16383.61446
17.23,59.17,0.075,391.1,50.26,16453.01205
17.4,59.07,0.077,373.1,66.11,16314.21687
17.38,59.6,0.077,354.9,96.9,16250.60241
17.24,60.4,0.073,335.5,141.6,16077.10843
17.07,61.2,0.073,314.5,199.9,15949.87952
17.09,61.8,0.074,291.0,254.4,15892.04819
17.3,61.47,0.075,266.4,281.1,15961.44578
17.26,61.17,0.075,229.8,260.8,15920.96386
17.36,61.04,0.077,211.4,249.6,16048.19277
17.6,60.67,0.081,189.1,227.1,16111.80723
17.57,59.83,0.077,160.3,195.4,16481.92771
