Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone3
11.96,55.38,0.088,0.059,0.067,10999.51807
23.68,54.39,4.92,0.091,0.093,23805.18828
8.69,93.3,0.083,0.029,0.137,6661.22449
14.97,83.9,0.069,0.015,0.108,19194.18182
18.76,86.3,4.917,0.069,0.119,16649.72644
12.51,64.02,0.079,0.055,0.148,14121.29032
26.75,43.41,4.92,678.5,69.25,13428.32827
16.77,72.5,0.077,0.022,0.126,14836.36364
9.2,84.0,0.083,0.051,0.096,14138.70968
19.89,86.0,0.067,0.044,0.17,17622.64615
24.15,46.15,4.91,0.084,0.096,36385.60669
15.03,85.9,0.073,0.044,0.107,10392.28916
11.54,73.9,4.915,0.062,0.13,15498.79518
8.08,73.3,4.916,0.04,0.167,9721.445783
20.02,89.0,0.265,0.044,0.156,11362.43161
26.57,43.21,4.92,807.0,209.9,23690.03135
15.6,53.52,0.078,715.0,775.0,17372.62312
19.97,41.73,0.081,628.4,559.5,10837.59036
27.62,43.98,4.904,753.0,32.18,24893.7931
14.04,85.4,0.072,0.04,0.148,13642.40964
6.993,66.14,4.918,349.6,33.41,15244.33735
15.54,90.2,4.918,0.048,0.115,15770.04049
16.1,55.7,0.082,0.029,0.141,12572.53012
36.68,26.88,4.908,202.5,206.1,35337.23849
8.0,69.3,4.918,0.113,0.104,9588.433735
15.81,64.56,0.083,128.7,126.9,8752.941176
20.9,69.99,0.224,0.084,0.089,11642.55319
11.56,37.36,0.084,371.1,36.68,16324.82412
25.94,40.81,0.084,787.0,59.16,17851.33603
13.95,69.26,0.086,0.037,0.082,24684.0603
9.8,58.79,4.914,0.044,0.122,24765.10553
21.89,74.9,0.07,485.3,463.1,11821.29231
17.35,70.2,0.081,0.059,0.148,11689.06883
12.1,88.2,0.078,0.059,0.145,25772.38191
12.82,58.58,0.079,0.051,0.082,9767.710843
24.97,41.51,0.073,877.0,60.55,18422.67206
15.25,55.91,0.082,0.048,0.089,16220.62312
29.44,41.53,4.924,814.0,104.7,20877.78462
13.08,60.78,0.079,0.256,0.271,15056.90276
20.52,53.6,0.08,199.1,172.5,11138.31325
14.07,50.43,0.086,645.4,691.8,15809.60804
18.84,84.6,4.921,0.051,0.13,26176.51822
24.33,61.59,4.927,557.7,134.0,14032.27783
13.69,76.2,0.071,117.6,118.8,16087.47739
26.07,39.35,4.908,0.062,0.163,21065.83072
11.95,53.15,4.921,12.9,14.25,25014.03015
29.56,56.66,4.908,573.0,77.6,28528.87029
27.34,40.81,4.919,518.1,179.7,12949.78723
10.75,65.57,0.082,0.04,0.111,25647.09677
7.16,78.4,0.087,0.081,0.122,13723.37349
19.59,71.1,0.075,0.059,0.115,15267.46988
17.29,82.9,4.928,52.44,43.42,12021.37652
6.599,86.6,0.092,75.7,55.09,7508.283313
24.77,60.72,4.922,661.1,100.8,14349.98979
24.93,63.6,4.91,0.095,0.059,31213.54232
12.03,83.3,0.078,0.907,0.845,10640.96386
13.68,69.14,0.117,5.929,6.086,15316.20648
13.38,50.53,0.082,0.059,0.119,15033.85354
23.18,71.8,4.908,0.099,0.133,22883.34728
28.33,34.51,4.907,799.0,40.62,23064.07524
14.22,70.0,0.076,0.059,0.085,13677.10843
11.53,66.51,4.923,0.051,0.13,14368.1608
15.45,80.9,0.074,0.059,0.167,25520.96386
14.85,65.55,0.077,97.1,121.2,21761.92771
23.9,50.65,4.93,522.9,145.2,13247.41641
12.91,67.12,0.085,0.066,0.122,27943.23618
11.87,69.98,0.076,0.051,0.093,26533.01205
23.64,55.02,0.303,0.102,0.081,14650.05107
21.57,84.3,4.918,0.073,0.104,12596.6905
12.78,88.1,4.92,0.048,0.115,13202.89157
13.13,84.8,0.07,125.2,123.3,18385.68844
15.31,55.42,4.922,596.1,188.8,10669.87952
30.81,31.48,0.078,481.9,130.0,25727.19665
24.92,57.84,4.921,866.0,84.9,16026.5587
12.95,62.9,0.078,0.055,0.096,24855.90361
14.51,72.5,0.065,0.084,0.115,14790.60729
24.5,47.25,0.296,86.3,81.7,19727.55873
16.99,89.2,4.983,32.22,13.76,8286.930091
10.19,90.7,0.084,366.8,326.8,12629.03226
23.05,43.08,4.926,37.17,31.21,16115.05618
15.18,63.85,0.078,0.044,0.108,7093.397359
16.23,78.6,4.916,0.018,0.122,14151.3253
19.32,86.7,4.916,49.02,42.36,10504.55927
17.75,84.7,4.918,7.59,6.451,8491.18541
6.746,75.7,4.912,0.081,0.104,15057.04523
19.67,71.5,4.919,626.4,626.0,15402.75304
29.83,44.81,4.907,765.0,37.5,26801.75549
13.46,59.25,0.082,0.055,0.134,13702.43216
15.28,87.7,0.072,0.077,0.085,15831.27273
19.87,66.54,4.92,433.5,100.3,19113.25301
23.13,56.69,4.913,248.2,220.1,21792.80335
28.6,35.76,4.923,821.0,49.66,20021.16923
24.51,80.6,4.924,0.095,0.089,31562.63323
14.07,62.13,0.082,0.062,0.078,16359.18367
18.35,61.12,4.923,65.53,77.7,16505.06024
15.05,79.7,0.081,0.044,0.156,15787.74194
13.26,70.8,0.081,465.4,487.9,17939.27711
14.8,63.57,0.081,1.325,1.305,25043.22581
28.83,30.58,4.907,0.073,0.07,32603.88715
22.61,70.5,4.92,204.6,179.7,12337.02128
13.18,86.8,4.911,0.033,0.093,15149.03226
14.15,82.9,0.083,0.015,0.137,18757.81818
26.35,77.7,4.907,0.102,0.148,26422.57053
21.98,43.29,4.919,683.8,115.5,16287.09677
7.07,65.58,0.089,0.044,0.115,18669.34673
19.89,86.7,0.068,0.055,0.148,19347.69231
25.97,89.9,4.91,0.055,0.144,21553.35423
19.15,73.8,0.07,176.0,155.4,14009.39271
28.04,73.3,4.918,561.3,331.3,29571.21339
17.09,50.23,0.081,0.055,0.096,14076.14458
29.91,66.96,4.904,762.0,217.7,29088.90282
25.4,44.35,0.082,796.0,624.5,17825.80645
20.19,72.2,4.915,0.04,0.107,14520.50209
13.57,79.2,4.918,44.06,40.74,12141.29032
19.27,81.3,0.072,699.8,409.3,16417.16599
23.47,61.72,4.917,357.5,92.2,12267.21144
21.0,76.5,0.066,483.2,203.7,16265.58704
19.9,71.8,0.071,31.66,27.73,9419.088146
25.67,87.0,4.93,475.4,301.5,19350.47022
15.77,78.2,0.071,0.055,0.115,17043.69231
26.0,87.7,4.907,0.058,0.163,18194.85893
14.36,74.2,0.074,10.74,10.32,24880.64516
20.44,73.8,0.304,278.5,94.6,13037.9571
22.48,67.48,0.073,0.084,0.119,26657.30408
16.12,71.0,0.073,164.5,169.5,16267.95181
22.59,67.37,4.925,170.9,152.8,16147.28033
19.73,66.38,0.072,1.872,1.853,20321.92771
15.43,70.6,0.079,0.048,0.1,17469.04615
26.54,48.29,4.924,0.084,0.096,34547.94979
21.07,88.7,4.911,0.051,0.115,13449.80592
17.83,77.4,0.071,0.069,0.107,14747.23404
15.93,86.9,0.067,0.026,0.119,20561.45455
21.02,75.0,0.074,0.077,0.093,19741.69279
21.99,71.7,4.928,137.1,69.3,13714.56588
18.87,84.0,0.134,0.037,0.107,14373.7386
14.05,53.27,4.916,0.044,0.085,17934.15075
30.53,29.85,4.917,5.949,5.091,43404.85356
22.73,61.75,0.27,0.088,0.133,13149.74464
16.4,76.6,0.083,585.0,96.0,16494.54545
22.42,85.3,4.914,0.044,0.126,19774.62717
18.72,89.0,4.916,0.084,0.122,12649.64249
30.6,44.76,4.921,840.0,150.9,22514.21538
25.96,46.42,4.927,733.0,57.53,24568.77743
13.42,82.7,0.076,294.8,272.9,16089.67742
22.18,48.98,0.08,178.6,185.4,23849.35385
19.86,29.04,0.086,0.062,0.093,15725.33013
14.81,64.02,0.083,0.033,0.126,25066.13065
23.18,64.5,0.07,900.0,76.6,18396.55385
17.32,85.7,4.916,0.062,0.148,11549.17933
19.91,63.33,4.916,0.19,0.122,25391.6129
12.59,87.1,4.919,0.059,0.148,11277.10843
11.25,70.0,0.084,0.029,0.13,8309.243697
23.16,75.1,0.092,106.1,94.4,11654.22492
14.97,73.8,0.084,0.059,0.122,11674.42977
26.96,32.81,4.907,0.077,0.107,21120.0
25.71,78.3,4.92,1.162,0.893,30256.55172
16.78,85.8,4.917,172.5,134.8,9985.167173
16.38,63.08,0.081,556.3,392.8,15664.88442
13.15,77.6,0.083,0.073,0.104,11120.96386
22.95,82.9,0.279,0.066,0.122,22086.86415
14.43,90.4,0.071,0.091,0.152,16256.0
22.23,65.05,4.921,379.9,45.86,12932.05312
13.25,85.5,0.082,0.022,0.171,10815.84634
11.95,89.0,0.077,3.29,3.197,11090.32258
14.62,78.1,0.076,0.04,0.152,13781.20482
23.69,85.3,4.921,0.088,0.093,23461.31661
10.24,84.0,4.917,159.8,106.1,12567.79899
30.75,32.74,4.904,863.0,148.3,27186.95925
20.16,76.4,0.072,214.4,183.8,16834.6988
17.34,66.66,4.921,0.044,0.093,12127.22892
29.05,45.52,4.958,521.7,39.33,16967.02194
13.36,78.4,0.084,0.077,0.082,9842.016807
12.9,65.75,0.073,0.022,0.108,22093.54839
31.19,40.01,0.071,36.27,29.72,43663.93305
29.09,62.72,4.906,676.3,358.3,27698.55799
27.75,35.51,4.903,837.0,55.74,25646.1442
23.23,71.3,0.067,758.0,60.82,20405.16923
32.87,28.45,4.92,718.0,52.86,29251.88285
10.67,70.6,4.919,0.062,0.048,15678.07229
25.03,88.4,4.92,0.077,0.107,36046.64577
27.89,65.56,4.903,0.091,0.104,21438.99687
10.26,84.0,0.085,2.81,2.566,11328.3871
8.43,87.8,0.08,0.055,0.089,9081.392557
15.73,81.7,0.071,115.9,104.7,16983.27273
26.24,54.25,4.92,222.1,177.4,13440.0
22.93,50.12,4.922,0.088,0.085,15450.2145
26.6,66.36,0.068,792.0,62.9,26771.66144
17.64,81.8,4.915,0.066,0.141,11444.21053
16.93,81.2,0.07,323.2,271.9,18624.0
11.28,48.66,0.077,0.048,0.145,8459.063625
23.24,52.46,4.906,0.084,0.082,35697.55486
23.69,47.62,0.329,474.9,37.1,13643.96323
15.88,85.2,4.909,0.018,0.104,19405.16129
20.99,85.9,0.072,0.059,0.067,26862.27692
24.2,78.6,0.068,0.084,0.096,35721.63009
26.07,53.67,0.068,703.0,178.4,17894.4
13.76,88.2,0.083,170.4,154.4,12066.90909
19.97,89.8,0.328,0.055,0.122,11414.09602
13.29,53.64,0.078,0.044,0.104,13552.94118
14.35,44.87,0.084,487.6,502.2,16395.18072
15.39,62.9,0.074,493.3,44.78,16898.31325
19.76,63.31,4.924,0.11,0.074,26956.8
17.72,78.6,0.086,0.026,0.111,27962.18182
13.88,64.21,0.08,141.4,130.1,16089.67742
12.12,61.7,0.082,383.3,348.6,17083.37349
17.3,42.61,4.916,518.7,69.68,11277.10843
17.5,66.22,4.92,50.43,64.56,14417.28691
17.36,48.31,4.919,542.7,41.24,17598.07229
8.55,91.1,0.095,2.192,1.969,11189.03226
24.18,68.98,0.069,124.6,125.0,27878.4
17.77,73.7,0.071,9.18,9.19,7333.012048
22.73,71.0,0.068,181.1,142.4,12733.86018
20.03,62.83,4.923,1.891,1.898,25409.03226
13.55,71.4,0.082,0.026,0.145,18121.93548
17.24,66.89,4.918,0.048,0.133,9790.843373
20.5,80.1,4.917,133.7,116.5,13247.41641
7.36,78.1,0.085,0.062,0.141,14619.75904
18.15,70.8,0.071,144.9,129.9,17140.36364
12.0,67.85,4.917,122.0,124.7,15369.64824
20.28,69.3,0.07,0.069,0.111,19567.65957
27.6,37.21,4.923,638.6,133.0,13255.64862
21.86,64.59,4.918,0.088,0.067,19340.06079
19.15,76.5,4.916,58.58,26.58,14505.32915
29.5,25.34,4.914,0.088,0.104,38108.78661
13.72,62.58,0.085,0.066,0.1,24375.48387
30.06,52.9,4.928,862.0,90.6,25968.20084
20.53,71.6,4.92,100.3,110.6,25045.50607
25.08,50.62,4.923,0.099,0.107,12004.3769
20.23,48.02,4.91,19.18,16.5,14378.93417
28.88,60.13,4.909,848.0,102.1,29571.21339
18.31,69.75,0.07,0.044,0.119,12219.75904
30.41,31.14,4.908,257.4,281.0,33921.33891
17.24,82.3,0.069,580.8,360.6,18519.27273
27.64,44.95,4.929,808.0,71.3,13896.95608
22.79,84.4,0.289,0.073,0.096,18297.85495
14.38,75.9,0.082,311.4,52.69,9150.540216
14.73,56.13,0.085,175.1,220.4,17962.40964
12.22,78.0,0.075,246.6,40.01,15059.27711
20.64,70.5,0.071,205.1,188.9,18806.74699
13.37,77.8,0.085,0.059,0.1,11554.6988
16.64,53.75,0.088,0.091,0.089,27985.45455
25.92,62.39,4.901,112.0,83.8,21101.94357
15.7,86.6,4.914,0.051,0.122,9284.863222
15.5,68.64,0.079,0.048,0.145,21096.72727
20.14,51.22,0.088,133.2,141.7,21911.27273
15.43,85.4,0.068,0.059,0.059,25716.36364
15.44,83.4,0.072,0.088,0.063,19986.50602
14.64,78.6,0.08,0.048,0.156,13948.91566
13.72,80.8,0.083,0.033,0.096,9836.254502
17.56,63.62,0.075,335.1,88.2,9853.541417
26.02,37.89,4.918,778.0,42.26,16618.33846
16.71,70.3,4.919,0.059,0.17,9490.120482
23.5,62.86,0.079,272.8,147.0,13253.25228
15.92,53.16,0.079,845.0,897.0,17847.31658
16.14,78.9,4.909,0.022,0.13,25515.18072
4.346,74.8,0.082,12.64,10.13,11514.21687
24.52,59.37,0.073,227.6,213.8,21261.78462
19.92,88.4,4.922,0.051,0.119,16370.21538
19.02,86.6,0.069,0.051,0.126,20130.8502
12.43,73.3,0.079,0.088,0.148,13997.66834
17.27,42.22,0.087,408.2,39.11,10095.55822
14.15,65.92,0.081,0.04,0.115,25257.16583
15.85,84.8,0.072,0.055,0.115,13393.73494
19.57,71.3,4.916,0.055,0.1,11047.29483
11.65,85.1,0.073,0.04,0.13,25681.93548
14.06,82.3,0.087,222.5,219.8,12263.22581
13.6,65.64,4.908,0.066,0.115,23856.24121
21.15,61.94,0.072,408.3,427.0,16366.26506
13.1,77.9,0.077,0.059,0.126,23635.66265
13.12,67.91,0.082,0.07,0.141,10929.52764
13.44,66.89,0.083,0.048,0.1,19103.51759
16.02,66.89,0.074,64.11,65.46,8424.489796
5.496,78.2,0.085,0.055,0.093,17459.27711
23.19,82.7,0.266,0.069,0.115,18415.52605
23.19,58.86,0.072,897.0,122.5,16895.22267
21.98,76.9,0.071,150.2,118.5,19329.96923
15.51,64.38,0.085,0.048,0.133,6044.657863
15.87,85.7,4.904,0.018,0.122,18336.77419
20.34,65.21,0.071,453.1,193.3,16453.01205
25.82,61.21,4.926,113.1,116.3,27907.93846
16.25,64.79,0.073,247.3,225.9,17593.54839
20.62,53.22,0.081,298.5,250.9,15111.25506
14.26,70.5,0.084,0.073,0.078,12318.07229
15.42,83.2,0.077,0.051,0.089,27392.0
13.29,86.3,0.085,0.015,0.13,18885.81818
7.41,89.6,0.072,0.029,0.197,13986.09045
9.47,90.1,0.089,0.033,0.115,13290.96774
15.37,73.4,0.073,1.614,1.568,25769.03226
19.81,85.0,4.914,0.095,0.126,9966.741573
12.16,79.9,4.925,0.081,0.111,13841.36683
19.64,62.65,0.079,0.051,0.093,24934.73684
22.46,72.8,0.069,99.3,110.7,29113.10769
19.63,66.98,0.07,0.077,0.059,20518.55422
6.085,87.9,0.087,0.062,0.171,8021.128451
25.35,71.8,4.906,0.113,0.078,38235.31381
21.06,81.7,4.911,0.091,0.111,20831.09718
12.01,87.7,0.081,156.4,143.3,16409.03226
8.07,88.4,0.087,0.091,0.108,14119.23618
13.76,86.4,0.084,0.066,0.126,12422.16867
22.31,72.6,4.92,0.095,0.078,19976.42633
30.59,45.69,4.908,768.0,90.7,28860.25105
14.12,65.81,0.081,550.5,606.5,18783.61446
22.08,60.19,4.917,763.0,47.16,17746.39676
24.81,64.5,4.922,0.095,0.093,33254.4
26.13,58.23,4.905,546.8,100.5,23286.77116
14.26,89.9,4.917,0.062,0.13,10732.95547
12.41,57.64,0.08,216.3,216.2,16470.36145
11.17,77.3,0.077,0.066,0.13,14342.16867
26.95,70.5,4.924,505.1,199.1,24895.73222
20.1,63.13,4.923,205.0,207.7,18201.1336
9.61,83.9,0.076,0.066,0.108,26238.07229
12.14,77.5,0.087,0.066,0.137,24994.6988
16.45,60.17,0.082,641.1,82.2,18067.29648
15.08,85.0,0.071,0.037,0.108,23168.0
19.49,83.2,4.921,1.068,0.953,25995.78947
19.56,88.9,0.082,174.2,148.3,12348.69301
23.96,38.84,0.08,869.0,293.5,18691.93846
19.9,82.6,4.922,0.08,0.107,15295.01538
16.53,89.8,4.917,41.02,33.86,10709.63563
27.64,55.02,4.907,0.117,0.037,24430.34483
23.55,51.92,4.909,0.095,0.096,32830.79498
24.57,55.19,4.927,0.088,0.07,13326.25128
22.64,77.7,4.985,160.8,96.1,15014.83146
10.53,84.9,0.084,0.044,0.096,10097.3494
25.17,48.38,0.083,120.4,52.88,14548.81459
20.97,62.22,4.92,211.9,234.7,10941.68675
24.29,45.86,4.92,274.2,251.9,17713.80753
13.29,88.6,0.073,0.033,0.122,15290.18182
19.67,89.5,0.071,0.044,0.211,16151.63077
11.66,81.2,0.084,0.062,0.122,15033.85354
25.8,36.22,4.919,411.9,446.3,16971.01215
13.79,76.3,0.082,381.7,126.0,10078.27131
24.56,79.3,4.924,166.5,149.0,20045.52301
21.31,66.84,4.921,176.5,144.8,12132.76596
20.47,89.1,0.066,0.04,0.119,25491.69231
15.82,81.9,0.071,159.5,144.3,17012.36364
22.82,85.5,4.915,247.0,215.4,13026.18999
15.27,75.3,0.077,0.073,0.126,21091.08434
11.3,51.1,0.079,0.081,0.152,9455.942377
26.96,47.35,0.29,616.3,138.6,15232.52298
22.91,83.6,4.917,168.0,144.1,14049.9285
16.58,88.7,4.911,72.9,61.48,11904.77733
36.4,19.74,4.908,801.0,95.8,32517.48954
15.53,72.4,0.069,7.92,8.32,24936.86747
15.55,71.2,4.913,66.48,66.64,17048.44221
24.17,54.92,4.924,9.25,7.85,18861.51976
20.19,74.0,0.08,127.2,108.2,11228.20669
14.09,82.0,0.087,0.026,0.13,14434.83871
11.7,84.1,4.915,0.088,0.122,10252.22111
16.08,59.58,0.082,0.07,0.104,24717.10843
13.45,83.1,0.075,0.073,0.119,16024.96999
22.88,82.8,4.918,0.066,0.148,19215.68948
20.2,58.85,4.919,0.102,0.104,22728.1716
20.77,79.1,4.923,639.2,614.7,13268.98785
26.5,58.54,4.923,812.0,127.7,24190.79498
23.33,71.3,4.923,650.3,62.47,12855.56691
15.92,54.44,0.085,19.12,19.34,14417.28691
13.94,43.59,0.079,72.6,94.3,15978.87155
21.07,26.54,0.088,396.3,212.5,9386.794718
21.11,71.3,4.913,406.5,33.98,19284.26332
16.37,72.3,0.086,0.037,0.093,11397.81818
24.01,86.6,4.915,173.2,133.1,19479.16318
21.62,67.92,0.07,888.0,94.7,18801.61943
20.49,67.69,0.276,0.066,0.133,9525.474974
16.14,83.4,0.069,64.19,57.59,14458.18182
21.12,59.49,4.924,0.088,0.1,15497.28294
13.66,88.9,0.068,0.077,0.182,14173.09091
12.05,84.0,0.085,0.029,0.185,11605.28211
12.04,77.8,0.083,0.081,0.178,11346.50602
13.63,75.5,4.92,0.044,0.1,8607.902736
15.44,77.9,0.081,0.033,0.133,18519.27273
18.74,79.9,0.069,74.0,57.01,18119.51417
19.6,77.7,0.069,0.073,0.107,14595.50152
24.84,69.29,0.259,1.316,1.13,23710.72523
19.36,87.6,4.922,222.2,178.3,11292.63158
24.46,55.55,0.07,809.0,102.3,19040.49231
7.73,80.4,0.086,0.084,0.159,14214.93976
19.86,88.6,0.069,0.04,0.115,9349.057751
12.53,87.3,4.911,0.797,0.652,8356.960486
16.38,57.41,0.083,10.37,9.75,25931.6129
34.69,12.27,4.904,100.4,94.0,31610.7837
24.61,83.2,4.925,0.08,0.096,34740.75314
14.78,61.88,0.087,0.022,0.137,22947.37688
25.26,85.5,4.925,207.7,162.9,19133.7931
23.16,70.7,4.903,1.737,1.341,17177.57322
12.86,68.66,0.077,97.4,100.6,14394.21687
12.05,80.5,0.08,0.095,0.085,14918.11055
13.33,70.7,4.919,0.062,0.126,25324.33735
20.65,62.86,0.106,0.033,0.115,11870.15198
33.45,34.88,4.903,232.8,184.5,27295.29781
27.25,69.1,4.911,849.0,100.9,29077.15481
20.07,52.55,0.081,105.4,86.9,12128.49231
19.15,43.12,0.085,788.0,99.2,17576.12903
19.27,57.37,0.085,462.3,68.52,9196.638655
15.79,56.03,0.088,46.0,45.7,18044.1407
23.8,87.3,4.915,103.1,84.1,16291.88285
14.04,61.0,0.082,137.3,136.8,10181.9928
30.65,32.08,4.906,862.0,50.95,29288.03347
16.22,58.44,0.081,0.055,0.096,15637.59036
10.1,52.25,0.082,12.99,12.65,11097.40704
19.52,86.6,4.924,332.6,288.5,11671.57895
19.89,47.33,0.086,0.099,0.052,10669.87952
16.25,72.9,4.911,0.033,0.1,14833.73494
11.49,76.7,0.073,0.084,0.159,14648.6747
15.93,71.7,0.074,0.066,0.115,10827.37095
23.98,45.42,4.925,480.9,123.9,11660.06079
9.52,65.31,0.08,0.07,0.167,9553.901561
18.23,87.1,4.916,0.077,0.152,10644.62006
11.24,68.98,4.917,147.4,58.4,12370.97487
20.54,75.6,0.071,702.0,501.6,16114.0081
20.37,85.1,0.069,0.062,0.115,22348.8
26.59,39.0,0.08,794.0,198.9,18078.70445
26.35,57.3,4.906,0.26,0.245,36546.2069
29.59,67.12,4.907,368.6,338.2,28517.11599
20.88,65.87,0.069,958.0,118.9,18591.74089
14.7,59.9,0.081,0.037,0.185,23953.73494
13.18,60.23,0.088,0.07,0.145,26290.12048
